timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663075032093,940,SignIn-13-09-2022 -->18/47/08,200,OK,SignIn 1-1,text,true,,5696,732,1,1,https://www.demo.guru99.com/test/newtours/index.php,939,0,579
1663075033035,303,Login/test/newtours/login_sucess.php-WINDOWS-1Q1O6H7,200,OK,SignIn 1-1,text,true,,4283,578,1,1,https://www.demo.guru99.com/test/newtours/login_sucess.php,303,0,0
1663075033491,845,SignOf-18/47/48  13-09-2022,200,OK,SignOff 1-1,text,true,,5657,545,1,3,https://www.demo.guru99.com/test/newtours/index.php,844,0,547
1663075033493,843,"Flights/test/newtours/reservation.php-Tue, 13_Sep_2022",200,OK,Flights 3-1,text,true,,5693,552,1,3,https://www.demo.guru99.com/test/newtours/reservation.php,842,0,543
1663075033491,847,Lunch-Lunch,200,OK,Lunch 2-1,text,true,,5657,474,1,2,https://www.demo.guru99.com/test/newtours/index.php,847,0,547
1663075034337,295,SignOff/test/newtours/index.php-1,200,OK,SignOff 1-1,text,true,,5567,597,1,2,https://www.demo.guru99.com/test/newtours/index.php,294,0,0
1663075034339,296,lunch/test/newtours/index.php-ThreadGroupName:- Lunch,200,OK,Lunch 2-1,text,true,,5567,526,1,2,https://www.demo.guru99.com/test/newtours/index.php,296,0,0
1663075034643,2982,SMTP Sampler,200,"Message successfully sent!
",SignOff 1-1,text,true,,166,0,1,1,null,0,0,0
